brand_name,brand_site_url,brand_image_url,model_name,model_brand_url,model_image_url
BUICK,https://www.autoevolution.com/buick/,https://s1.cdn.autoevolution.com/images/producers/buick-sm.jpg,,,
BYD,https://www.autoevolution.com/byd/,https://s1.cdn.autoevolution.com/images/producers/byd-sm.jpg,,,
CADILLAC,https://www.autoevolution.com/cadillac/,https://s1.cdn.autoevolution.com/images/producers/cadillac-sm.jpg,,,
CATERHAM,https://www.autoevolution.com/caterham/,https://s1.cdn.autoevolution.com/images/producers/caterham-sm.jpg,,,
CHEVROLET,https://www.autoevolution.com/chevrolet/,https://s1.cdn.autoevolution.com/images/producers/chevrolet-sm.jpg,,,
CHRYSLER,https://www.autoevolution.com/chrysler/,https://s1.cdn.autoevolution.com/images/producers/chrysler-sm.jpg,,,
CITROEN,https://www.autoevolution.com/citroen/,https://s1.cdn.autoevolution.com/images/producers/citroen-sm.jpg,,,
CUPRA,https://www.autoevolution.com/cupra/,https://s1.cdn.autoevolution.com/images/producers/cupra-sm.jpg,,,
DACIA,https://www.autoevolution.com/dacia/,https://s1.cdn.autoevolution.com/images/producers/dacia-sm.jpg,,,
DAEWOO,https://www.autoevolution.com/daewoo/,https://s1.cdn.autoevolution.com/images/producers/daewoo-sm.jpg,,,
DAIHATSU,https://www.autoevolution.com/daihatsu/,https://s1.cdn.autoevolution.com/images/producers/daihatsu-sm.jpg,,,
DATSUN,https://www.autoevolution.com/datsun/,https://s1.cdn.autoevolution.com/images/producers/datsun-sm.jpg,,,
DeLorean,https://www.autoevolution.com/dmc/,https://s1.cdn.autoevolution.com/images/producers/delorean-sm.jpg,,,
DODGE,https://www.autoevolution.com/dodge/,https://s1.cdn.autoevolution.com/images/producers/dodge-sm.jpg,,,
DONKERVOORT,https://www.autoevolution.com/donkervoort/,https://s1.cdn.autoevolution.com/images/producers/donkervoort-sm.jpg,,,
DR MOTOR,https://www.autoevolution.com/dr-motor/,https://s1.cdn.autoevolution.com/images/producers/dr-motor-sm.jpg,,,
DS AUTOMOBILES,https://www.autoevolution.com/ds-automobiles/,https://s1.cdn.autoevolution.com/images/producers/ds-automobiles-sm.jpg,,,
EAGLE,https://www.autoevolution.com/eagle/,https://s1.cdn.autoevolution.com/images/producers/eagle-sm.jpg,,,
FERRARI,https://www.autoevolution.com/ferrari/,https://s1.cdn.autoevolution.com/images/producers/ferrari-sm.jpg,,,
FIAT,https://www.autoevolution.com/fiat/,https://s1.cdn.autoevolution.com/images/producers/fiat-sm.jpg,,,
FISKER,https://www.autoevolution.com/fisker/,https://s1.cdn.autoevolution.com/images/producers/fisker-sm.jpg,,,
FORD,https://www.autoevolution.com/ford/,https://s1.cdn.autoevolution.com/images/producers/ford-sm.jpg,,,
